caption,words,operands,distinct_symbols,unseen_symbols,max_type_arity,rank_of_image,rank_among_captions
A man is herding his goats is the desert,9,162,162,0,4,2948,14755
Men keep watch on a herd of goats.,8,138,138,0,4,1563,9359
Several cars are parked in front of a building.,9,174,174,0,5,7,45
A green car has parked on the curb in a parking lot,12,222,210,0,5,11,141
Small parking lot of cars in front of a stone building.,11,174,156,0,3,171,912
Cars are parked on the the street in front of the building.,12,222,198,0,5,0,3
Cars are parked on the street near an old building.,10,198,198,0,5,1,19
A political candidate advertisement on the side of a coach bus.,11,174,162,0,3,88,1873
Here is Massachusettes candidate Scott Brown's campaign trailer.,8,150,150,0,4,774,5125
a large bus with a political ad on the side of it,12,186,174,0,3,105,434
A tour bus with advertisement on the side of it,10,162,162,0,3,107,640
a large campaign trailer parked in a parking lot.,9,162,150,0,5,215,599
A bus traveling down a curvy road behind a black car.,11,198,174,0,5,716,2706
A group of people cross the curved street.,8,138,138,0,3,76,365
A curve in a city road with a bus following a car and people walking on the side.,18,270,234,0,5,293,1448
A group of people walk alongside the road.,8,150,150,0,5,90,321
A fish eye view of a bus rounding a curve on a city street.,14,210,174,0,3,1022,6047
Two buses parked in a parking lot next to cars.,10,174,174,0,5,432,1805
People crossing a busy city street full of vehicles.,9,162,162,0,5,210,664
A couple of people are crossing a busy street,9,162,150,0,4,505,2135
Pedestrians crossing a street between buses and cars. ,8,150,150,0,5,104,180
A street with two busses and people walking.,8,138,138,0,3,214,356
A bus traveling on a freeway next to other traffic.,10,186,174,0,5,67,401
A bus and other cars driving down a multi-laned street .,11,174,162,0,5,132,378
A white bus driving on a four lane road.,9,162,150,0,5,33,85
City bus next to traffic cones in the far right lane of a busy freeway.,15,222,222,0,3,20,122
A white with red striped bus drives down the slow lane on a freeway surrounded by several other cars.,19,330,318,0,6,62,432
A yellow taxi cab sitting below tall buildings.,8,150,150,0,5,345,1171
A picture of an animal is on a pole and next to it is a yellow taxi.,17,246,222,0,3,197,3423
a couple of yellow signs are near a taxi,9,150,138,0,3,297,1200
ON A CITY ROAD THERE IS LOTS OF TAXIS,9,150,150,0,3,655,3003
Two guiding signs are pictured in front of a busy street.,11,198,198,0,5,848,3666
"A No bicycles, skates or skateboards sign on a pole.",10,162,150,0,3,305,1103
a close up of a vandalized street sign,8,138,126,0,3,149,2279
"A street sign prohibiting bicycles, skates, and skateboards.",8,138,138,0,3,69,308
A street sign mounted to the side of a pole.,10,162,150,0,3,52,242
A sign prohibiting skating on the sidewalk with black and red writing.,12,210,210,0,6,181,1240
two giraffes are standing together outside a barn,8,174,174,0,5,16,50
A mother giraffe is standing with a baby giraffe.,9,174,156,0,5,2592,20047
The smaller giraffe is standing next to the larger giraffe.,10,186,168,0,5,58,228
Two giraffes in a sanctuary standing close to the wall,10,174,174,0,5,69,431
"Two giraffes, one grown and one baby, standing next to each other",12,210,210,0,5,33,178
An older woman riding a train while sitting under it's window.,11,210,210,0,6,93,495
A woman with an umbrella on a commuter train takes a snooze,12,186,162,0,3,417,2957
There is a woman sitting alone on a train next to a bag,13,234,210,0,5,73,1315
A man sitting on a bench with a shopping bag next to him on a train.,16,270,234,0,5,116,919
A woman with a cane and shopping bag sitting,9,150,138,0,3,116,507
A woman sitting in front of the Eiffel tower near pigeons.,11,198,198,0,5,52,371
"A woman sitting on ledge with three pigeons, with gate railing, trees, and base of the Eiffel Tower behind.",19,294,294,0,5,402,2533
A man sitting on cement by some birds,8,162,162,0,5,67,352
a woman seated on wall and birds besides her,9,162,162,0,5,105,931
A woman is sitting near a prominent landmark.,8,162,150,0,5,161,857
A large wooden pole with a green street sign hanging from it.,12,198,186,0,5,46,110
street signs on the corner of Gladys and Detroit,9,150,150,0,3,80,265
The signs give the street names and show where to park.,11,222,210,0,6,1579,13486
A wooden utility pole sports several street signs.,8,138,138,0,3,2,22
The street signs for Gladys and Detroit streets are attached to a wooden pole.,14,222,222,0,4,53,241
Three birds walking around a dry grass field.,8,150,150,0,5,6,109
There are 3 female peacocks together walking around.,8,150,150,0,4,1931,5873
three strange looking birds walking on the grass,8,150,150,0,5,51,206
Three birds huddled together in a open field.,8,162,162,0,5,14,167
A train traveling down tracks next to lights.,8,162,162,0,5,219,539
A blue and silver train next to train station and trees.,11,198,198,0,6,88,185
A blue train is next to a sidewalk on the rails.,11,186,174,0,4,125,381
A passenger train pulls into a train station.,8,150,138,0,5,14,104
A train coming down the tracks arriving at a station.,10,186,174,0,5,12,33
A train going back to its coarse filled with people.,10,186,186,0,5,1473,6948
A blue commuter train traveling towards a train tunnel.,9,162,150,0,5,49,77
Blue train car sitting on a train track near tunnel.,10,174,162,0,5,9,49
A train with people inside is about to go into a tunnel.,12,234,222,0,5,33,252
A blue train on some train tracks about to go under a bridge,13,234,222,0,5,142,721
A stop sign has been placed upside-down in the grass beside a building. ,13,258,246,0,5,235,1267
A stop sighn is propped up against the side of a building.,12,222,210,0,5,36,929
A red stop sign sitting on the floor next to a wall.,12,210,198,0,5,16,25
Road sigh on wooden pole shown upside down next to white wall.,12,222,222,0,5,67,81
A stop sign standing up against a wall.,8,162,150,0,5,0,2
a stop sign sittin on a pole that is somewhat broken ,11,222,210,0,5,663,4688
A stop sign on a broken post across the street from houses.,12,186,174,0,3,32,53
A broken telephone pole in a neighborhood with a stop sign attached to it.,14,210,186,0,3,244,785
A stop sign is on a dented wooden pole.,9,150,138,0,3,210,2045
A stop sign that is attached to a broken wooden pole.,11,198,186,0,4,43,141
A stop sign is lit up in the dark of night.,11,210,210,0,5,44,129
A red stop sign sitting on the side of a dark road.,12,198,186,0,5,98,124
A red stop sign is glowing against the dark sky.,10,186,186,0,5,28,17
A stop sign on the side of a street.,9,150,138,0,3,69,86
a vandalized stop sign in the dark with a sky background,11,174,162,0,3,38,51
A dog and cat lying  together on an orange couch. ,10,186,186,0,5,22,3
A dog and a cat curled up together on a couch.,11,210,186,0,5,45,34
A cat and dog napping together on the couch.,9,174,174,0,5,49,29
A dog and cat are sleeping together on an orange couch.,11,210,210,0,5,3,2
A cat and a dog rest together on a hideous orange couch.,12,210,186,0,5,360,3379
Two cats sitting on top of a pair of shoes.,10,174,156,0,5,6,14
Two cats are outside and perched on someone's sneakers.,9,198,198,0,5,0,5
Two cats are sitting on a pair of shoes outdoors.,10,186,174,0,5,5,52
Two striped cats lying with two sneakers on a ledge.,10,198,198,0,6,33,71
A cat laying on clothes that are in a suitcase. ,10,186,174,0,4,138,3138
A cat that is laying in a piece of luggage. ,10,198,186,0,5,6,71
A cat is laying in an open suitcase on top of some clothes.,13,234,234,0,5,19,42
A view of a cat lying in a open suitcase.,10,174,150,0,5,64,700
An orange and white cat laying on top of a bag of luggage.,13,234,216,0,6,3,5
A herd of cattle grazing on a lush green field.,10,174,162,0,5,15,27
There are two cows in this grassy field.,8,150,150,0,5,12,14
some black cattle are grazing in a green field,9,174,174,0,5,22,57
Cattle are grazing in a bright green pasture along a river and mountains.,13,222,210,0,5,45,295
A few cows grazing in a field near trees.,9,162,150,0,5,18,61
two cows outside one laying down and the other standing near a building ,13,222,222,0,5,398,2177
The white scared cow in a Tibetan city.,8,138,138,0,3,1800,11196
A cow standing in a grassy open field.,8,150,138,0,5,82,297
A herd of cattle sitting and standing on a lush green field.,12,222,210,0,6,65,212
There white cows in grassy area with temples in background.,10,162,144,0,3,26,482
An orange and white cat standing in front of a flat screen TV,13,234,234,0,6,16,29
A cat climbing on top of a shelf with a tv,11,186,162,0,5,36,74
A cat is standing on top of a shelf and staring down.,12,246,234,0,6,102,379
A cat standing in front of a tv on a tv stand.,12,198,174,0,5,6,59
A cat perches on top of an entertainment center in front of a TV.,14,234,204,0,5,9,70
A cat sitting beside a laptop on a desk.,9,162,138,0,5,25,145
A curious cat looking upward by a laptop screen.,9,174,162,0,5,1,6
A picture of a cat staring at the ceiling. ,9,150,138,0,3,774,2584
a white and black cat looking up in the air in front of a desktop computer.,16,294,282,0,6,18,133
The grey and white cat stares up near a laptop.,10,210,210,0,6,5,49
An image of a very cute girl with face piercings.,10,174,174,0,4,216,2378
Painting of girl that has multiple piercings on face,9,162,162,0,4,148,1442
A young brunette woman with multiple face piercings.,8,138,138,0,3,111,419
A young woman with green eyes and piercings all over her face.,12,198,198,0,4,114,166
A drawing of a young woman with many facial piercings.,10,162,150,0,3,155,1312
A group of people who are standing together.,8,174,174,0,4,57,129
a group of people that are standing up outside,9,198,198,0,4,128,334
a group of people are all gathered together outside,9,198,198,0,4,99,528
A crowd of people gather around the unwrapping of an item.,11,186,168,0,5,104,629
The crowd is looking at something covered in white cloth.,10,174,174,0,4,32,177
A yacht with people is near a pier on clear water.,11,174,162,0,3,33,93
A group of people mingle on a yacht beside the coast.,11,186,174,0,5,126,283
People are getting off a boat on a rocky island.,10,186,174,0,5,262,851
People aboard and boarding a party boat in the water.,10,186,186,0,6,1079,2716
A pontoon boat ferry full of passengers pushes off from shore. ,11,210,210,0,5,30,142
some elephants and one is by some water,8,138,126,0,3,7,47
A elephant drinks from a stream with several other elephants walking in the background.,14,258,246,0,7,42,110
"One elephant standing away from the rest of the herd, drinking water.",12,198,186,0,5,6,52
An elephant drinking water while the rest of the herd is walking in dry grass.,15,258,246,0,5,52,119
A group of elephants with water in front and trees behind.,11,174,174,0,3,6,58
there are two large boats that are in the water ,10,174,174,0,4,247,1725
Some very nice looking boats in the water.,8,150,150,0,4,103,760
"Two large ferries passing by each other in a city scape,",11,198,198,0,5,143,609
Two long boats are sailing near a large bridge. ,9,174,174,0,5,20,81
Scenic boats daily travel the Thames in England.,8,162,162,0,5,769,3181
An elephant standing under the shade of a tree.,9,162,162,0,5,29,28
An elephant standing in the middle of a rocky environment.,10,174,174,0,5,14,1
An elephant is alone in a wooded enclosure.,8,162,162,0,5,38,116
An elephant standing in a shaded cleaning in a wooded area.,11,186,174,0,5,42,851
An elephant walks alone past some big rocks boulders in an open field,13,234,222,0,5,39,375
A black and white image with a colored british flag umbrella,11,198,186,0,6,805,5020
A lady in a crowd holding an umbrella with a British flag design.,13,198,174,0,3,101,1183
"Color corrected photograph of a person carrying a red, white and blue umbrella.",13,222,210,0,6,208,3191
A colorful umbrella in the center of a black and white picture of a busy city side walk.,18,282,240,0,6,1014,7651
A group of people walking on the street in a city.,11,198,186,0,5,92,649
There is an elephant standing near a tree.,8,150,150,0,5,26,901
An elephant in a grassy field with trees,8,138,138,0,3,16,80
A large tusked elephant walking in a wooded area.,9,162,150,0,5,0,0
An elephant is walking through the green shrubs.,8,162,162,0,5,2,20
An adorable elephant walking through a grass covered forest.,9,174,174,0,5,12,38
THERE ARE WOMEN THAT ARE LAUGHING UNDER THE UMBRELLA,9,186,186,0,5,95,855
Three teenage girls hover under an umbrella while they talk and laugh.,12,234,234,0,6,19,265
three people standing near one another with an umbrella,9,174,174,0,5,63,260
Three girls walking down the sidewalk under a sun umbrella.,10,186,186,0,5,12,178
Three young women smile brightly together under a large umbrella.,10,198,198,0,5,31,336
Several middle eastern looking stickers decorate a black briefcase.,9,162,162,0,4,719,3113
Suitcase with stickers outside on table in city.,8,138,138,0,3,1347,5686
a luggage bag on top of a table ,8,138,126,0,3,10,112
A briefcase with decorated with stickers placed on a table.,10,186,174,0,5,4,27
A lunch box of some sorts is placed on the table. ,11,198,198,0,5,244,865
A woman standing next to a  brown and white dog.,10,198,186,0,6,1413,6901
a man watches as a dig looks at a toy in the air ,13,210,186,0,5,2533,12592
A man standing in a grass field with a dog in front of him and frisbee type toys thrown in the air.,22,342,318,0,5,520,1122
A man watches as a dog prepares to jump for a frisbee.,12,222,198,0,5,531,1551
"Frisbee in the air, a dog squatting looking up at it, and a man standing behind the dog watching it, on the grass with a tree.",26,402,354,0,6,648,2707
A man standing next to train tracks with bags of luggage.,11,198,198,0,5,16,46
A man standing next to luggage on a railway platform.,10,186,174,0,5,37,273
A man standing at a train station near a pile of luggage,12,210,186,0,5,3,22
A man stands at a train station with lots of luggage,11,198,186,0,5,3,9
A young man standing with luggage next to the tracks,10,186,186,0,5,190,986
a polar bear following a big winged bird,8,138,126,0,3,997,3985
a large bear landing a large polar bear is in the background preparing to drink from the water ,18,294,252,0,6,3516,13272
A polar bear and a bird near a small pond.,10,162,138,0,3,2,4
A bird sitting in front of the water with a bear on the other side.,15,246,222,0,5,1254,5628
"A Polar Bear walks toward water, while a large bird lands on the opposite bank.",15,258,246,0,5,2,33
A zebra all by itself in the green forest.,9,162,162,0,4,25,148
A zebra standing in a field of grass outside.,9,162,150,0,5,1,8
A zebra standing in a grassy field by a woods.,10,174,150,0,5,9,53
A zebra stands in high grass in wooded area.,9,174,174,0,5,13,111
A half zebra hybrid is standing in tall grass.,9,174,174,0,5,155,364
An antilope is eating grass in between two zebra.,9,174,174,0,5,1485,9985
Several zebras eat the green grass in the pasture.,9,150,138,0,3,72,209
Two zebras and another animal grazing in the grass.,9,162,162,0,5,157,467
Three zebra in the middle of a field with a body of water in the distance.,16,234,174,0,3,12,189
Three Zebra's eating grass as they walk. ,7,138,138,0,5,230,934
A zebra standing on top of a grass covered field.,10,186,174,0,5,42,96
there is a very beautiful zebra that is standing in the shade,12,234,234,0,5,19,1400
A zebra showing the left side of itself on a field.,11,174,162,0,3,28,781
A zebra is standing in an open field.,8,162,162,0,5,44,147
a large zebra standing next to a tree,8,150,138,0,5,13,28
Two zebras fighting in a cloud of dust,8,150,150,0,5,46,95
Two zebras fighting in a open area with green bushes.,10,174,174,0,5,57,113
Two zebras are battling each other on hind legs.,9,174,174,0,5,179,684
Two zebra having a fight on top of a dry grass field.,12,198,186,0,5,34,88
Two zebras in a jungle area fighting in a dirt area.,11,186,168,0,5,66,187
A couple of jockey's riding the horses through the beach.,10,174,162,0,5,4,1
Jockeys races horses on the beach on a clear day.,10,186,186,0,5,205,1498
Jockeys on horses race on an ocean beach.,8,150,150,0,5,56,252
People riding on horses as the run on a beach. ,10,186,186,0,5,107,705
three people riding horses on a beach ,7,138,138,0,5,3,6
There is a white horse pulling a trolley behind it.,10,174,162,0,5,268,1818
A horse pulling a wagon with a conductor down the road. ,11,174,150,0,3,45,282
A large white horse pulling a trolley car down the street. ,11,186,174,0,5,30,204
A trolley that is being pulled by a white horse.,10,210,198,0,5,1370,10541
A horse pulling a trolley carriage with a man on it,11,174,150,0,3,9,242
A big and white horse in a dirt cage. ,9,174,162,0,6,4,44
A white horse is standing near a riding field.,9,174,162,0,5,7,50
a white horse that is standing next to a fence,10,198,186,0,5,10,136
A white horse standing in a corral looking on.,9,174,162,0,5,1284,4982
A white horse standing on top of a dirt field.,10,174,162,0,5,0,2
A man in a blue coat skiing through a snowy field. ,11,186,162,0,5,7,21
A person riding skis on top of a snow covered slope.,11,198,186,0,5,59,363
The person is standing in the deep snow. The trees are covered with snow.,14,246,216,0,5,4146,16275
A man walking on his skis in the snow with snow covered trees in the background.,16,282,270,0,5,32,231
A man that has ski's and is standing in the snow.,11,234,234,0,6,2,34
A baseball player preparing to throw a pitch during a game.,11,210,186,0,5,1,1
A man that is standing in the dirt with a glove.,11,222,210,0,5,1163,1865
A baseball player lunges and reaches back with the ball.,10,210,210,0,6,41,204
A baseball player pitching a baseball on top of a field.,11,186,162,0,5,17,281
A man in a Rays uniform is throwing a baseball,10,174,150,0,4,29,175
A person is trying to ski down a snowy slope.,10,210,198,0,5,36,45
The woman is learning how to ski on the snow.,10,210,198,0,5,3,195
A child is bent over on skis in the snow.,10,198,198,0,5,11,79
someone that has some skiies on in the snow,9,186,186,0,5,85,1150
A woman touching her skis going down a ski hill.,10,174,162,0,5,77,536
"A bowl of banana's, sprinkels, chocolate chips, and marshmellows.",9,150,150,0,3,95,1034
"Bananas, marshmellows, chocolate chips and sprinkles in a bowl",9,162,162,0,5,1197,4222
Some dessert and toppings are in a blue plastic bowl.,10,162,162,0,3,47,155
"A blue plate filled with marshmallows, chocolate chips and banana.",10,162,162,0,3,683,3858
"A bowl full of marshmallows, chocolate, and other delicious treats.",10,174,174,0,5,78,1005
A plate is filled with broccoli and noodles.,8,150,150,0,4,44,46
A dish of vegetables and noodles with sauce.,8,138,138,0,3,26,64
The dinner on the plate is ready to eat. ,9,186,174,0,4,365,1668
A broccoli and pasta salad with oil and vinegar dressing.,10,162,144,0,3,281,1339
an image of a plate of food with meat and veggies,11,174,174,0,3,359,1481
A person in a helmet is riding a skateboard.,9,162,138,0,4,87,351
Man in yellow and black body suit on skateboard.,9,174,174,0,6,826,1683
A man with a helmet on riding on an electrical skateboard. ,11,186,174,0,5,117,332
A skateboarder demonstrates on his skateboard that has a large wheel in the back.,14,234,222,0,5,1831,7190
A man on a long exposure picture riding an electric skateboard.,11,174,162,0,3,53,146
"Youngster on a skateboard, trying simple tip up stunt.",9,150,150,0,3,880,2258
Young skateboarder displaying skills on sidewalk near field.,8,150,150,0,5,139,294
A person on a skateboard on a street.,8,138,114,0,3,1701,2840
A young boy is performing tricks on a skateboard.,9,174,162,0,5,0,38
a little boy that is jumping a skateboard,8,162,150,0,4,0,392
A person on a skateboard rides down a ramp.,9,162,138,0,5,351,501
Black and white photograph of person on a skateboard.,9,174,174,0,6,831,2122
Person riding on edge of skateboard about to do a trick,11,210,210,0,5,367,697
A man is standing on a skateboard at a skate park.,11,210,186,0,5,555,731
A black and white photograph of a person wearing DC shoes on a skateboard in the sun. ,17,282,258,0,6,873,2248
A BOY WITH A BLUE SHIRT AND JEAN PANTS DOING A TRICK WITH HIS SKATEBOARD,15,234,210,0,5,23,262
a young man doing a jump with his skateboard in a skate park,13,222,198,0,5,31,183
A man has jumped a ramp with his skateboard.,9,174,162,0,5,205,517
a man in the air with a skateboard above a half pipe ,12,186,162,0,3,905,1672
A man is in mid air doing a skateboard trick.,10,174,162,0,5,38,53
A man holding a microphone in one hand while he holds a skateboard in the other.,16,270,216,0,5,229,820
a man holding a skateboard and a microphone ,8,138,114,0,3,387,1380
A young man holding a microphone and a skate board.,10,162,138,0,3,161,517
A young skateboarder talking into a microphone ,7,138,126,0,5,22,129
A guy holding a skate board is speaking into a microphone.,11,198,174,0,5,148,548
A plate of donuts with a person in the background.,10,162,150,0,3,3379,19170
A person sitting on the floor near a plate of donuts.,11,198,186,0,5,260,695
Eight doughnuts sitting on a white serving tray.,8,150,150,0,5,806,4455
The chocolate and glazed donuts are stacked on a plate.,10,186,186,0,5,834,5221
A close up of glazed donuts that are plain or with chocolate.,12,234,234,0,6,763,2263
A man biting into a doughnut with a sly look.,10,174,150,0,5,181,775
A man wearing glasses eating a donut. ,7,126,114,0,3,0,17
there is a man wearing glasses and eating a donut,10,186,174,0,6,2925,8753
A man wearing glasses eating a glazed donut out of doors.,11,186,174,0,5,1689,3379
A man taking a bite of a doughnut while wearing glasses.,11,198,174,0,6,29,186
three different donuts one is pink one is brown and one has white sprinkles,14,234,228,0,5,622,3868
A table topped with a white plate covered in three donuts.,11,174,162,0,3,28,290
A variety of doughnuts sitting on a paper plate.,9,162,150,0,5,72,330
Frosted and sprinkled donuts stacked on a paper plate.,9,186,186,0,6,64,307
Donuts with frosting and glazed toppings sit on table next to coffee maker,13,222,222,0,5,84,673
Three workers stand next to each other with their baked goods behind them.,13,222,222,0,5,180,580
three people standing in front of trays of doughnuts and bagels,11,186,168,0,5,85,363
Three people in work uniforms and visors standing together in front of various types of donuts.,16,258,240,0,5,67,166
Three female workers stand in front of rows of pastries. ,10,174,156,0,5,48,86
Some girls in colorful shirts standing by some pastries.,9,162,150,0,5,11,24
tHERE ARE MANY DONUTS LAYED TO DRY ON A GRILL,10,198,198,0,5,1,732
A black-and white picture of a rack full of doughnuts.,10,174,162,0,5,139,1180
A rack topped with glazed donuts sitting side by side.,10,210,210,0,9,78,1014
a close up of a grill of doughnuts,8,138,126,0,3,21,118
A couple dozen of glazed donuts on a wire rack.,10,162,150,0,3,48,206
A sandwich on a plate served with garnish.,8,150,138,0,5,69,780
A delicious sandwich layered with meat and dressed with avocado lies on a cutting board.,15,258,234,0,6,41,224
A ham sandwich on a white plate with a kale garnish.,11,174,150,0,3,3,190
A white bread sandwich on plate filled with ham and lettuce,11,174,174,0,3,179,1501
A table with plates of sandwiches and fruit.,8,138,138,0,3,210,1073
A person holding up a chocolate doughnut with a face drawn on it.,13,222,198,0,5,159,261
A man holding up what appears to be a chocolate desert.,11,222,210,0,4,602,1294
A person holding up a tasty looking treat.,8,162,150,0,4,67,91
A person holding a cookie with icing that has one of it's arms bitten off.,15,258,246,0,5,438,938
A person holds an oddly shaped cookie in front of the camera.,12,210,210,0,5,609,1315
A man holding a ball while standing next to a gate.,11,210,186,0,6,349,936
A man walking while holding a ball in his hand. ,10,198,186,0,6,302,767
A man throwing a ball while smiling and on a field. ,11,270,246,0,12,106,739
A man throwing a ball in a black and white photo.,11,174,150,0,3,1174,6234
A group of people walking on top of a beach.,10,174,144,0,5,16,33
The people have surfboards and are on the beach.,9,174,162,0,6,76,486
Surboarders are in the water and waiting on the shore.,10,174,162,0,4,259,1292
Surfers stand with surfboards on a beach for the early morning sunrise.,12,222,222,0,5,66,280
Beach full of surfers inside and outside of the water.,10,186,174,0,6,975,2863
A two layer cake sitting on top of a table.,10,174,162,0,5,38,72
a two layered cake sits on a table top ,9,162,150,0,5,45,124
The cake is prepared and ready to be eaten.,9,222,222,0,6,280,1746
A white boxy birthday cake with red flowers and blue accents on a decorated table with gray cover and candles.,20,282,234,0,3,77,373
A two layer cake sitting on a table near candles.,10,174,162,0,5,42,62
a group of adults playing soccer on a field,9,162,150,0,5,20,49
The two teams are kicking a soccer ball.,8,150,150,0,4,11,27
