caption,words,operands,distinct_symbols,unseen_symbols,max_type_arity,rank_of_image,rank_among_captions
A display of vintage animal toys on the floor.,9,684,684,0,3,133,373
 a bench sitting in the grass facing the water and boats ,11,900,828,0,5,6,19
A wooden bench overlooking a harbor beneath a cloudy sky.,10,756,612,0,3,2,8
A beach has a grassy area with a park beach.,10,756,576,0,3,55,216
A bench that is sitting in the grass.,8,828,828,0,5,96,319
A bench at the beach next to the sea,9,684,612,0,3,5,9
a flock of goats and some men watching them,9,684,684,0,3,650,5690
a man and a large herd of goats in a desert setting.,12,900,756,0,3,35,69
The nomadic sheepherd walks behind a large group of livestock in their desert habitat.,14,1188,1188,0,5,184,1058
A man is herding his goats is the desert,9,756,756,0,4,1867,12633
Men keep watch on a herd of goats.,8,612,612,0,4,537,2606
Several cars are parked in front of a building.,9,828,828,0,5,15,129
A green car has parked on the curb in a parking lot,12,1116,1044,0,5,2,41
Small parking lot of cars in front of a stone building.,11,828,720,0,3,144,584
Cars are parked on the the street in front of the building.,12,1116,972,0,5,11,73
Cars are parked on the street near an old building.,10,972,972,0,5,9,23
A political candidate advertisement on the side of a coach bus.,11,828,756,0,3,25,80
Here is Massachusettes candidate Scott Brown's campaign trailer.,8,684,684,0,4,3448,16544
a large bus with a political ad on the side of it,12,900,828,0,3,142,693
A tour bus with advertisement on the side of it,10,756,756,0,3,159,1781
a large campaign trailer parked in a parking lot.,9,756,684,0,5,293,1992
A bus traveling down a curvy road behind a black car.,11,972,828,0,5,143,548
A group of people cross the curved street.,8,612,612,0,3,15,77
A curve in a city road with a bus following a car and people walking on the side.,18,1404,1188,0,5,131,1099
A group of people walk alongside the road.,8,684,684,0,5,30,72
A fish eye view of a bus rounding a curve on a city street.,14,1044,828,0,3,1909,7026
Two buses parked in a parking lot next to cars.,10,828,828,0,5,71,56
People crossing a busy city street full of vehicles.,9,756,756,0,5,82,405
A couple of people are crossing a busy street,9,756,684,0,4,88,501
Pedestrians crossing a street between buses and cars. ,8,684,684,0,5,106,684
A street with two busses and people walking.,8,612,612,0,3,314,1635
A bus traveling on a freeway next to other traffic.,10,900,828,0,5,7,24
A bus and other cars driving down a multi-laned street .,11,828,756,0,5,77,295
A white bus driving on a four lane road.,9,756,684,0,5,1,13
City bus next to traffic cones in the far right lane of a busy freeway.,15,1116,1116,0,3,28,237
A white with red striped bus drives down the slow lane on a freeway surrounded by several other cars.,19,1764,1692,0,6,2735,15328
A yellow taxi cab sitting below tall buildings.,8,684,684,0,5,190,219
A picture of an animal is on a pole and next to it is a yellow taxi.,17,1260,1116,0,3,290,1640
a couple of yellow signs are near a taxi,9,684,612,0,3,269,597
ON A CITY ROAD THERE IS LOTS OF TAXIS,9,684,684,0,3,20,676
Two guiding signs are pictured in front of a busy street.,11,972,972,0,5,317,1342
"A No bicycles, skates or skateboards sign on a pole.",10,756,684,0,3,5,14
a close up of a vandalized street sign,8,612,540,0,3,60,353
"A street sign prohibiting bicycles, skates, and skateboards.",8,612,612,0,3,223,1988
A street sign mounted to the side of a pole.,10,756,684,0,3,96,461
A sign prohibiting skating on the sidewalk with black and red writing.,12,1044,1044,0,6,456,3290
two giraffes are standing together outside a barn,8,828,828,0,5,0,0
A mother giraffe is standing with a baby giraffe.,9,828,720,0,5,38,454
The smaller giraffe is standing next to the larger giraffe.,10,900,792,0,5,70,399
Two giraffes in a sanctuary standing close to the wall,10,828,828,0,5,4,44
"Two giraffes, one grown and one baby, standing next to each other",12,1044,1044,0,5,0,51
An older woman riding a train while sitting under it's window.,11,1044,1044,0,6,20,567
A woman with an umbrella on a commuter train takes a snooze,12,900,756,0,3,15,849
There is a woman sitting alone on a train next to a bag,13,1188,1044,0,5,10,114
A man sitting on a bench with a shopping bag next to him on a train.,16,1404,1188,0,5,22,252
A woman with a cane and shopping bag sitting,9,684,612,0,3,593,3727
A woman sitting in front of the Eiffel tower near pigeons.,11,972,972,0,5,40,29
"A woman sitting on ledge with three pigeons, with gate railing, trees, and base of the Eiffel Tower behind.",19,1548,1548,0,5,32,104
A man sitting on cement by some birds,8,756,756,0,5,332,1503
a woman seated on wall and birds besides her,9,756,756,0,5,508,2527
A woman is sitting near a prominent landmark.,8,756,684,0,5,110,231
A large wooden pole with a green street sign hanging from it.,12,972,900,0,5,34,214
street signs on the corner of Gladys and Detroit,9,684,684,0,3,14,145
The signs give the street names and show where to park.,11,1116,1044,0,6,91,1266
A wooden utility pole sports several street signs.,8,612,612,0,3,145,661
The street signs for Gladys and Detroit streets are attached to a wooden pole.,14,1116,1116,0,4,38,325
Three birds walking around a dry grass field.,8,684,684,0,5,4,2
There are 3 female peacocks together walking around.,8,684,684,0,4,633,2026
three strange looking birds walking on the grass,8,684,684,0,5,610,2437
Three birds huddled together in a open field.,8,756,756,0,5,5,0
A train traveling down tracks next to lights.,8,756,756,0,5,13,30
A blue and silver train next to train station and trees.,11,972,972,0,6,7,21
A blue train is next to a sidewalk on the rails.,11,900,828,0,4,38,106
A passenger train pulls into a train station.,8,684,612,0,5,17,109
A train coming down the tracks arriving at a station.,10,900,828,0,5,61,464
A train going back to its coarse filled with people.,10,900,900,0,5,522,2446
A blue commuter train traveling towards a train tunnel.,9,756,684,0,5,7,78
Blue train car sitting on a train track near tunnel.,10,828,756,0,5,5,336
A train with people inside is about to go into a tunnel.,12,1188,1116,0,5,49,174
A blue train on some train tracks about to go under a bridge,13,1188,1116,0,5,64,546
A stop sign has been placed upside-down in the grass beside a building. ,13,1332,1260,0,5,33,83
A stop sighn is propped up against the side of a building.,12,1116,1044,0,5,20,253
A red stop sign sitting on the floor next to a wall.,12,1044,972,0,5,1,10
Road sigh on wooden pole shown upside down next to white wall.,12,1116,1116,0,5,82,106
A stop sign standing up against a wall.,8,756,684,0,5,11,6
a stop sign sittin on a pole that is somewhat broken ,11,1116,1044,0,5,102,784
A stop sign on a broken post across the street from houses.,12,900,828,0,3,20,24
A broken telephone pole in a neighborhood with a stop sign attached to it.,14,1044,900,0,3,41,155
A stop sign is on a dented wooden pole.,9,684,612,0,3,4,7
A stop sign that is attached to a broken wooden pole.,11,972,900,0,4,28,54
A stop sign is lit up in the dark of night.,11,1044,1044,0,5,13,9
A red stop sign sitting on the side of a dark road.,12,972,900,0,5,15,14
A red stop sign is glowing against the dark sky.,10,900,900,0,5,14,17
A stop sign on the side of a street.,9,684,612,0,3,11,6
a vandalized stop sign in the dark with a sky background,11,828,756,0,3,15,66
A dog and cat lying  together on an orange couch. ,10,900,900,0,5,26,145
A dog and a cat curled up together on a couch.,11,1044,900,0,5,20,85
A cat and dog napping together on the couch.,9,828,828,0,5,23,177
A dog and cat are sleeping together on an orange couch.,11,1044,1044,0,5,24,157
A cat and a dog rest together on a hideous orange couch.,12,1044,900,0,5,204,1339
Two cats sitting on top of a pair of shoes.,10,828,720,0,5,5,33
Two cats are outside and perched on someone's sneakers.,9,972,972,0,5,0,6
Two cats are sitting on a pair of shoes outdoors.,10,900,828,0,5,1,87
Two striped cats lying with two sneakers on a ledge.,10,972,972,0,6,2,30
A cat laying on clothes that are in a suitcase. ,10,900,828,0,4,103,489
A cat that is laying in a piece of luggage. ,10,972,900,0,5,1,10
A cat is laying in an open suitcase on top of some clothes.,13,1188,1188,0,5,0,7
A view of a cat lying in a open suitcase.,10,828,684,0,5,1,16
An orange and white cat laying on top of a bag of luggage.,13,1188,1080,0,6,2,30
A herd of cattle grazing on a lush green field.,10,828,756,0,5,49,112
There are two cows in this grassy field.,8,684,684,0,5,47,219
some black cattle are grazing in a green field,9,828,828,0,5,43,58
Cattle are grazing in a bright green pasture along a river and mountains.,13,1116,1044,0,5,12,18
A few cows grazing in a field near trees.,9,756,684,0,5,33,16
two cows outside one laying down and the other standing near a building ,13,1116,1116,0,5,128,1028
The white scared cow in a Tibetan city.,8,612,612,0,3,517,2031
A cow standing in a grassy open field.,8,684,612,0,5,31,85
A herd of cattle sitting and standing on a lush green field.,12,1116,1044,0,6,64,363
There white cows in grassy area with temples in background.,10,756,648,0,3,16,234
An orange and white cat standing in front of a flat screen TV,13,1188,1188,0,6,9,177
A cat climbing on top of a shelf with a tv,11,900,756,0,5,15,81
A cat is standing on top of a shelf and staring down.,12,1260,1188,0,6,40,340
A cat standing in front of a tv on a tv stand.,12,972,828,0,5,16,97
A cat perches on top of an entertainment center in front of a TV.,14,1188,1008,0,5,21,63
A cat sitting beside a laptop on a desk.,9,756,612,0,5,22,183
A curious cat looking upward by a laptop screen.,9,828,756,0,5,11,177
A picture of a cat staring at the ceiling. ,9,684,612,0,3,319,754
a white and black cat looking up in the air in front of a desktop computer.,16,1548,1476,0,6,2,54
The grey and white cat stares up near a laptop.,10,1044,1044,0,6,0,15
An image of a very cute girl with face piercings.,10,828,828,0,4,78,939
Painting of girl that has multiple piercings on face,9,756,756,0,4,201,1372
A young brunette woman with multiple face piercings.,8,612,612,0,3,20,62
A young woman with green eyes and piercings all over her face.,12,972,972,0,4,107,499
A drawing of a young woman with many facial piercings.,10,756,684,0,3,1,8
A group of people who are standing together.,8,828,828,0,4,29,224
a group of people that are standing up outside,9,972,972,0,4,104,499
a group of people are all gathered together outside,9,972,972,0,4,8,38
A crowd of people gather around the unwrapping of an item.,11,900,792,0,5,9,94
The crowd is looking at something covered in white cloth.,10,828,828,0,4,4,139
A yacht with people is near a pier on clear water.,11,828,756,0,3,1,5
A group of people mingle on a yacht beside the coast.,11,900,828,0,5,588,1024
People are getting off a boat on a rocky island.,10,900,828,0,5,597,909
People aboard and boarding a party boat in the water.,10,900,900,0,6,1969,5043
A pontoon boat ferry full of passengers pushes off from shore. ,11,1044,1044,0,5,52,206
some elephants and one is by some water,8,612,540,0,3,1,20
A elephant drinks from a stream with several other elephants walking in the background.,14,1332,1260,0,7,3,64
"One elephant standing away from the rest of the herd, drinking water.",12,972,900,0,5,1026,2491
An elephant drinking water while the rest of the herd is walking in dry grass.,15,1332,1260,0,5,12,73
A group of elephants with water in front and trees behind.,11,828,828,0,3,5,33
there are two large boats that are in the water ,10,828,828,0,4,14,23
Some very nice looking boats in the water.,8,684,684,0,4,16,28
"Two large ferries passing by each other in a city scape,",11,972,972,0,5,154,235
Two long boats are sailing near a large bridge. ,9,828,828,0,5,19,110
Scenic boats daily travel the Thames in England.,8,756,756,0,5,4597,17162
An elephant standing under the shade of a tree.,9,756,756,0,5,7,23
An elephant standing in the middle of a rocky environment.,10,828,828,0,5,17,123
An elephant is alone in a wooded enclosure.,8,756,756,0,5,5,6
An elephant standing in a shaded cleaning in a wooded area.,11,900,828,0,5,113,1721
An elephant walks alone past some big rocks boulders in an open field,13,1188,1116,0,5,13,75
A black and white image with a colored british flag umbrella,11,972,900,0,6,964,6719
A lady in a crowd holding an umbrella with a British flag design.,13,972,828,0,3,311,2635
"Color corrected photograph of a person carrying a red, white and blue umbrella.",13,1116,1044,0,6,104,1183
A colorful umbrella in the center of a black and white picture of a busy city side walk.,18,1476,1224,0,6,343,2090
A group of people walking on the street in a city.,11,972,900,0,5,47,196
There is an elephant standing near a tree.,8,684,684,0,5,22,45
An elephant in a grassy field with trees,8,612,612,0,3,2,8
A large tusked elephant walking in a wooded area.,9,756,684,0,5,4,12
An elephant is walking through the green shrubs.,8,756,756,0,5,6,26
An adorable elephant walking through a grass covered forest.,9,828,828,0,5,13,108
THERE ARE WOMEN THAT ARE LAUGHING UNDER THE UMBRELLA,9,900,900,0,5,23,119
Three teenage girls hover under an umbrella while they talk and laugh.,12,1188,1188,0,6,23,270
three people standing near one another with an umbrella,9,828,828,0,5,49,92
Three girls walking down the sidewalk under a sun umbrella.,10,900,900,0,5,6,12
Three young women smile brightly together under a large umbrella.,10,972,972,0,5,9,14
Several middle eastern looking stickers decorate a black briefcase.,9,756,756,0,4,177,936
Suitcase with stickers outside on table in city.,8,612,612,0,3,515,3641
a luggage bag on top of a table ,8,612,540,0,3,70,1003
A briefcase with decorated with stickers placed on a table.,10,900,828,0,5,229,2071
A lunch box of some sorts is placed on the table. ,11,972,972,0,5,44,515
A woman standing next to a  brown and white dog.,10,972,900,0,6,151,1085
a man watches as a dig looks at a toy in the air ,13,1044,900,0,5,38,290
A man standing in a grass field with a dog in front of him and frisbee type toys thrown in the air.,22,1836,1692,0,5,28,79
A man watches as a dog prepares to jump for a frisbee.,12,1116,972,0,5,35,214
"Frisbee in the air, a dog squatting looking up at it, and a man standing behind the dog watching it, on the grass with a tree.",26,2196,1908,0,6,89,993
A man standing next to train tracks with bags of luggage.,11,972,972,0,5,1,9
A man standing next to luggage on a railway platform.,10,900,828,0,5,0,2
A man standing at a train station near a pile of luggage,12,1044,900,0,5,0,10
A man stands at a train station with lots of luggage,11,972,900,0,5,0,3
A young man standing with luggage next to the tracks,10,900,900,0,5,5,61
a polar bear following a big winged bird,8,612,540,0,3,3693,19149
a large bear landing a large polar bear is in the background preparing to drink from the water ,18,1548,1296,0,6,3715,17533
A polar bear and a bird near a small pond.,10,756,612,0,3,4,20
A bird sitting in front of the water with a bear on the other side.,15,1260,1116,0,5,79,349
"A Polar Bear walks toward water, while a large bird lands on the opposite bank.",15,1332,1260,0,5,5,6
A zebra all by itself in the green forest.,9,756,756,0,4,1,30
A zebra standing in a field of grass outside.,9,756,684,0,5,11,18
A zebra standing in a grassy field by a woods.,10,828,684,0,5,0,1
A zebra stands in high grass in wooded area.,9,828,828,0,5,2,14
A half zebra hybrid is standing in tall grass.,9,828,828,0,5,185,654
An antilope is eating grass in between two zebra.,9,828,828,0,5,2894,11025
Several zebras eat the green grass in the pasture.,9,684,612,0,3,44,107
Two zebras and another animal grazing in the grass.,9,756,756,0,5,32,60
Three zebra in the middle of a field with a body of water in the distance.,16,1188,828,0,3,1,111
Three Zebra's eating grass as they walk. ,7,612,612,0,5,31,48
A zebra standing on top of a grass covered field.,10,900,828,0,5,5,7
there is a very beautiful zebra that is standing in the shade,12,1188,1188,0,5,15,129
A zebra showing the left side of itself on a field.,11,828,756,0,3,1,16
A zebra is standing in an open field.,8,756,756,0,5,6,11
a large zebra standing next to a tree,8,684,612,0,5,11,20
Two zebras fighting in a cloud of dust,8,684,684,0,5,0,2
Two zebras fighting in a open area with green bushes.,10,828,828,0,5,14,21
Two zebras are battling each other on hind legs.,9,828,828,0,5,56,233
Two zebra having a fight on top of a dry grass field.,12,972,900,0,5,41,203
Two zebras in a jungle area fighting in a dirt area.,11,900,792,0,5,13,27
A couple of jockey's riding the horses through the beach.,10,828,756,0,5,2,28
Jockeys races horses on the beach on a clear day.,10,900,900,0,5,6,38
Jockeys on horses race on an ocean beach.,8,684,684,0,5,17,280
People riding on horses as the run on a beach. ,10,900,900,0,5,11,85
three people riding horses on a beach ,7,612,612,0,5,3,9
There is a white horse pulling a trolley behind it.,10,828,756,0,5,330,1862
A horse pulling a wagon with a conductor down the road. ,11,828,684,0,3,22,61
A large white horse pulling a trolley car down the street. ,11,900,828,0,5,12,28
A trolley that is being pulled by a white horse.,10,1044,972,0,5,672,4442
A horse pulling a trolley carriage with a man on it,11,828,684,0,3,9,37
A big and white horse in a dirt cage. ,9,828,756,0,6,0,17
A white horse is standing near a riding field.,9,828,756,0,5,0,16
a white horse that is standing next to a fence,10,972,900,0,5,1,43
A white horse standing in a corral looking on.,9,828,756,0,5,4,19
A white horse standing on top of a dirt field.,10,828,756,0,5,0,1
A man in a blue coat skiing through a snowy field. ,11,900,756,0,5,10,32
A person riding skis on top of a snow covered slope.,11,972,900,0,5,36,76
The person is standing in the deep snow. The trees are covered with snow.,14,1260,1080,0,5,59,380
A man walking on his skis in the snow with snow covered trees in the background.,16,1476,1404,0,5,4,37
A man that has ski's and is standing in the snow.,11,1188,1188,0,6,28,347
A baseball player preparing to throw a pitch during a game.,11,1044,900,0,5,30,31
A man that is standing in the dirt with a glove.,11,1116,1044,0,5,254,438
A baseball player lunges and reaches back with the ball.,10,1044,1044,0,6,37,129
A baseball player pitching a baseball on top of a field.,11,900,756,0,5,49,72
A man in a Rays uniform is throwing a baseball,10,828,684,0,4,169,468
A person is trying to ski down a snowy slope.,10,1044,972,0,5,142,362
The woman is learning how to ski on the snow.,10,1044,972,0,5,50,395
A child is bent over on skis in the snow.,10,972,972,0,5,12,116
someone that has some skiies on in the snow,9,900,900,0,5,159,579
A woman touching her skis going down a ski hill.,10,828,756,0,5,726,3300
"A bowl of banana's, sprinkels, chocolate chips, and marshmellows.",9,684,684,0,3,694,3464
"Bananas, marshmellows, chocolate chips and sprinkles in a bowl",9,756,756,0,5,472,2905
Some dessert and toppings are in a blue plastic bowl.,10,756,756,0,3,0,0
"A blue plate filled with marshmallows, chocolate chips and banana.",10,756,756,0,3,57,1009
"A bowl full of marshmallows, chocolate, and other delicious treats.",10,828,828,0,5,118,754
A plate is filled with broccoli and noodles.,8,684,684,0,4,86,89
A dish of vegetables and noodles with sauce.,8,612,612,0,3,45,429
The dinner on the plate is ready to eat. ,9,900,828,0,4,219,710
A broccoli and pasta salad with oil and vinegar dressing.,10,756,648,0,3,230,1251
an image of a plate of food with meat and veggies,11,828,828,0,3,49,87
A person in a helmet is riding a skateboard.,9,756,612,0,4,17,251
Man in yellow and black body suit on skateboard.,9,828,828,0,6,198,916
A man with a helmet on riding on an electrical skateboard. ,11,900,828,0,5,318,2161
A skateboarder demonstrates on his skateboard that has a large wheel in the back.,14,1188,1116,0,5,34,91
A man on a long exposure picture riding an electric skateboard.,11,828,756,0,3,71,532
"Youngster on a skateboard, trying simple tip up stunt.",9,684,684,0,3,3881,14332
Young skateboarder displaying skills on sidewalk near field.,8,684,684,0,5,119,355
A person on a skateboard on a street.,8,612,468,0,3,200,614
A young boy is performing tricks on a skateboard.,9,828,756,0,5,0,3
a little boy that is jumping a skateboard,8,756,684,0,4,0,16
A person on a skateboard rides down a ramp.,9,756,612,0,5,101,319
Black and white photograph of person on a skateboard.,9,828,828,0,6,46,241
Person riding on edge of skateboard about to do a trick,11,1044,1044,0,5,47,63
A man is standing on a skateboard at a skate park.,11,1044,900,0,5,75,367
A black and white photograph of a person wearing DC shoes on a skateboard in the sun. ,17,1476,1332,0,6,169,622
A BOY WITH A BLUE SHIRT AND JEAN PANTS DOING A TRICK WITH HIS SKATEBOARD,15,1188,1044,0,5,2,28
a young man doing a jump with his skateboard in a skate park,13,1116,972,0,5,8,4
A man has jumped a ramp with his skateboard.,9,828,756,0,5,45,676
a man in the air with a skateboard above a half pipe ,12,900,756,0,3,31,406
A man is in mid air doing a skateboard trick.,10,828,756,0,5,58,72
A man holding a microphone in one hand while he holds a skateboard in the other.,16,1404,1080,0,5,162,587
a man holding a skateboard and a microphone ,8,612,468,0,3,37,231
A young man holding a microphone and a skate board.,10,756,612,0,3,0,30
A young skateboarder talking into a microphone ,7,612,540,0,5,12,250
A guy holding a skate board is speaking into a microphone.,11,972,828,0,5,64,490
A plate of donuts with a person in the background.,10,756,684,0,3,262,2813
A person sitting on the floor near a plate of donuts.,11,972,900,0,5,32,44
Eight doughnuts sitting on a white serving tray.,8,684,684,0,5,82,219
The chocolate and glazed donuts are stacked on a plate.,10,900,900,0,5,22,14
A close up of glazed donuts that are plain or with chocolate.,12,1188,1188,0,6,2174,11669
A man biting into a doughnut with a sly look.,10,828,684,0,5,3,12
A man wearing glasses eating a donut. ,7,540,468,0,3,2,2
there is a man wearing glasses and eating a donut,10,900,828,0,6,48,175
A man wearing glasses eating a glazed donut out of doors.,11,900,828,0,5,158,416
A man taking a bite of a doughnut while wearing glasses.,11,972,828,0,6,21,18
three different donuts one is pink one is brown and one has white sprinkles,14,1188,1152,0,5,22,242
A table topped with a white plate covered in three donuts.,11,828,756,0,3,139,318
A variety of doughnuts sitting on a paper plate.,9,756,684,0,5,5,6
Frosted and sprinkled donuts stacked on a paper plate.,9,900,900,0,6,4,5
Donuts with frosting and glazed toppings sit on table next to coffee maker,13,1116,1116,0,5,15,29
Three workers stand next to each other with their baked goods behind them.,13,1116,1116,0,5,216,970
three people standing in front of trays of doughnuts and bagels,11,900,792,0,5,44,61
Three people in work uniforms and visors standing together in front of various types of donuts.,16,1332,1224,0,5,21,49
Three female workers stand in front of rows of pastries. ,10,828,720,0,5,11,26
Some girls in colorful shirts standing by some pastries.,9,756,684,0,5,1,16
tHERE ARE MANY DONUTS LAYED TO DRY ON A GRILL,10,972,972,0,5,6,46
A black-and white picture of a rack full of doughnuts.,10,828,756,0,5,1,32
A rack topped with glazed donuts sitting side by side.,10,1044,1044,0,9,0,17
a close up of a grill of doughnuts,8,612,540,0,3,31,139
A couple dozen of glazed donuts on a wire rack.,10,756,684,0,3,84,433
A sandwich on a plate served with garnish.,8,684,612,0,5,27,292
A delicious sandwich layered with meat and dressed with avocado lies on a cutting board.,15,1332,1188,0,6,194,956
A ham sandwich on a white plate with a kale garnish.,11,828,684,0,3,48,485
A white bread sandwich on plate filled with ham and lettuce,11,828,828,0,3,15,354
A table with plates of sandwiches and fruit.,8,612,612,0,3,343,1110
A person holding up a chocolate doughnut with a face drawn on it.,13,1116,972,0,5,2,23
A man holding up what appears to be a chocolate desert.,11,1116,1044,0,4,120,253
A person holding up a tasty looking treat.,8,756,684,0,4,2,15
A person holding a cookie with icing that has one of it's arms bitten off.,15,1332,1260,0,5,31,140
A person holds an oddly shaped cookie in front of the camera.,12,1044,1044,0,5,3,21
A man holding a ball while standing next to a gate.,11,1044,900,0,6,150,856
A man walking while holding a ball in his hand. ,10,972,900,0,6,230,1178
A man throwing a ball while smiling and on a field. ,11,1404,1260,0,12,430,2245
A man throwing a ball in a black and white photo.,11,828,684,0,3,653,4155
A group of people walking on top of a beach.,10,828,648,0,5,12,82
The people have surfboards and are on the beach.,9,828,756,0,6,8,164
Surboarders are in the water and waiting on the shore.,10,828,756,0,4,109,958
Surfers stand with surfboards on a beach for the early morning sunrise.,12,1116,1116,0,5,3,21
Beach full of surfers inside and outside of the water.,10,900,828,0,6,33,172
A two layer cake sitting on top of a table.,10,828,756,0,5,5,16
a two layered cake sits on a table top ,9,756,684,0,5,115,284
The cake is prepared and ready to be eaten.,9,1116,1116,0,6,31,68
